PATH,ID,REL,CHILD,LEN
1,700,includes,701,0
1,701,includes,1479,1
1,1479,includes,709,2
1,709,contains,433,3
1,433,includes,432,4
1,432,includes,1,5
1,1,=,1,6
2,700,includes,701,0
2,701,includes,1923,1
2,1923,includes,1922,2
2,1922,includes,709,3
2,709,contains,433,4
2,433,includes,432,5
2,432,includes,1,6
2,1,=,1,7
3,700,includes,929,0
3,929,includes,702,1
3,702,includes,1923,2
3,1923,includes,1922,3
3,1922,includes,709,4
3,709,contains,433,5
3,433,includes,432,6
3,432,includes,1,7
3,1,=,1,8
4,700,contains,427,0
4,427,includes,424,1
4,424,includes,450,2
4,450,includes,449,3
4,449,includes,432,4
4,432,includes,1,5
4,1,=,1,6
5,700,includes,701,0
5,701,contains,424,1
5,424,includes,450,2
5,450,includes,449,3
5,449,includes,432,4
5,432,includes,1,5
5,1,=,1,6
6,700,includes,701,0
6,701,includes,1923,1
6,1923,contains,450,2
6,450,includes,449,3
6,449,includes,432,4
6,432,includes,1,5
6,1,=,1,6
7,700,includes,929,0
7,929,includes,702,1
7,702,includes,1923,2
7,1923,contains,450,3
7,450,includes,449,4
7,449,includes,432,5
7,432,includes,1,6
7,1,=,1,7
8,700,includes,701,0
8,701,includes,1923,1
8,1923,includes,1922,2
8,1922,contains,449,3
8,449,includes,432,4
8,432,includes,1,5
8,1,=,1,6
9,700,includes,929,0
9,929,includes,702,1
9,702,includes,1923,2
9,1923,includes,1922,3
9,1922,contains,449,4
9,449,includes,432,5
9,432,includes,1,6
9,1,=,1,7
10,700,includes,701,0
10,701,includes,703,1
10,703,includes,706,2
10,706,includes,753,3
10,753,includes,787,4
10,787,includes,1865,5
10,1865,contains,1,6
10,1,=,1,7
11,700,includes,701,0
11,701,includes,1479,1
11,1479,includes,709,2
11,709,includes,2026,3
11,2026,includes,1865,4
11,1865,contains,1,5
11,1,=,1,6
12,700,includes,701,0
12,701,includes,1923,1
12,1923,includes,1922,2
12,1922,includes,709,3
12,709,includes,2026,4
12,2026,includes,1865,5
12,1865,contains,1,6
12,1,=,1,7
13,700,includes,929,0
13,929,includes,702,1
13,702,includes,1923,2
13,1923,includes,1922,3
13,1922,includes,709,4
13,709,includes,2026,5
13,2026,includes,1865,6
13,1865,contains,1,7
13,1,=,1,8
14,700,includes,701,0
14,701,includes,1479,1
14,1479,includes,709,2
14,709,includes,1866,3
14,1866,includes,1865,4
14,1865,contains,1,5
14,1,=,1,6
15,700,includes,701,0
15,701,includes,1923,1
15,1923,includes,1922,2
15,1922,includes,709,3
15,709,includes,1866,4
15,1866,includes,1865,5
15,1865,contains,1,6
15,1,=,1,7
16,700,includes,929,0
16,929,includes,702,1
16,702,includes,1923,2
16,1923,includes,1922,3
16,1922,includes,709,4
16,709,includes,1866,5
16,1866,includes,1865,6
16,1865,contains,1,7
16,1,=,1,8
17,700,includes,929,0
17,929,includes,966,1
17,966,includes,1865,2
17,1865,contains,1,3
17,1,=,1,4
18,700,includes,701,0
18,701,includes,1479,1
18,1479,includes,709,2
18,709,includes,1500,3
18,1500,includes,1499,4
18,1499,includes,1498,5
18,1498,contains,1,6
18,1,=,1,7
19,700,includes,701,0
19,701,includes,1923,1
19,1923,includes,1922,2
19,1922,includes,709,3
19,709,includes,1500,4
19,1500,includes,1499,5
19,1499,includes,1498,6
19,1498,contains,1,7
19,1,=,1,8
20,700,includes,929,0
20,929,includes,702,1
20,702,includes,1923,2
20,1923,includes,1922,3
20,1922,includes,709,4
20,709,includes,1500,5
20,1500,includes,1499,6
20,1499,includes,1498,7
20,1498,contains,1,8
20,1,=,1,9
21,700,includes,929,0
21,929,includes,967,1
21,967,includes,1500,2
21,1500,includes,1499,3
21,1499,includes,1498,4
21,1498,contains,1,5
21,1,=,1,6
22,700,includes,701,0
22,701,includes,1479,1
22,1479,includes,709,2
22,709,includes,783,3
22,783,contains,1,4
22,1,=,1,5
23,700,includes,701,0
23,701,includes,1923,1
23,1923,includes,1922,2
23,1922,includes,709,3
23,709,includes,783,4
23,783,contains,1,5
23,1,=,1,6
24,700,includes,929,0
24,929,includes,702,1
24,702,includes,1923,2
24,1923,includes,1922,3
24,1922,includes,709,4
24,709,includes,783,5
24,783,contains,1,6
24,1,=,1,7
25,700,includes,701,0
25,701,includes,1479,1
25,1479,includes,709,2
25,709,includes,1500,3
25,1500,includes,1499,4
25,1499,includes,782,5
25,782,contains,1,6
25,1,=,1,7
26,700,includes,701,0
26,701,includes,1923,1
26,1923,includes,1922,2
26,1922,includes,709,3
26,709,includes,1500,4
26,1500,includes,1499,5
26,1499,includes,782,6
26,782,contains,1,7
26,1,=,1,8
27,700,includes,929,0
27,929,includes,702,1
27,702,includes,1923,2
27,1923,includes,1922,3
27,1922,includes,709,4
27,709,includes,1500,5
27,1500,includes,1499,6
27,1499,includes,782,7
27,782,contains,1,8
27,1,=,1,9
28,700,includes,929,0
28,929,includes,967,1
28,967,includes,1500,2
28,1500,includes,1499,3
28,1499,includes,782,4
28,782,contains,1,5
28,1,=,1,6
29,700,includes,701,0
29,701,includes,703,1
29,703,includes,704,2
29,704,includes,747,3
29,747,includes,721,4
29,721,contains,1,5
29,1,=,1,6
30,700,includes,701,0
30,701,includes,1830,1
30,1830,includes,704,2
30,704,includes,747,3
30,747,includes,721,4
30,721,contains,1,5
30,1,=,1,6
31,700,includes,701,0
31,701,includes,1479,1
31,1479,includes,709,2
31,709,includes,1866,3
31,1866,includes,721,4
31,721,contains,1,5
31,1,=,1,6
32,700,includes,701,0
32,701,includes,1923,1
32,1923,includes,1922,2
32,1922,includes,709,3
32,709,includes,1866,4
32,1866,includes,721,5
32,721,contains,1,6
32,1,=,1,7
33,700,includes,929,0
33,929,includes,702,1
33,702,includes,1923,2
33,1923,includes,1922,3
33,1922,includes,709,4
33,709,includes,1866,5
33,1866,includes,721,6
33,721,contains,1,7
33,1,=,1,8
34,700,includes,929,0
34,929,includes,702,1
34,702,includes,1405,2
34,1405,includes,721,3
34,721,contains,1,4
34,1,=,1,5
35,700,includes,929,0
35,929,includes,967,1
35,967,includes,721,2
35,721,contains,1,3
35,1,=,1,4
36,700,includes,929,0
36,929,includes,966,1
36,966,includes,721,2
36,721,contains,1,3
36,1,=,1,4
37,700,includes,701,0
37,701,includes,1479,1
37,1479,includes,709,2
37,709,contains,433,3
37,433,includes,432,4
